feature_set,top_n,cost_bps,fold_id,n_rebalances,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,mean_turnover,ic,hit_rate
baseline_price_only,10,10.0,74,21,0.0014773638452235348,0.0007283609360343816,0.002704596080657841,-0.0012272322354343074,-0.0019762351446234597,0.7490029091891529,-0.014574219354600456,0.6190476190476191
baseline_price_only,10,10.0,75,21,-0.00033657754302893005,-0.0010431898430287392,-0.0008757035069422543,0.0005391259639133242,-0.00016748633608648417,0.7066122999998086,0.0447040269557975,0.38095238095238093
baseline_price_only,10,10.0,76,21,0.00029029251706691575,-0.00036287901313294604,0.00029057502428398514,-2.8250721706969485e-07,-0.0006534540374169309,0.6531715301998611,0.049090336223740906,0.47619047619047616
baseline_price_only,10,10.0,77,21,-0.003818377959519348,-0.0044532349979326665,-0.003786422452507254,-3.1955507012093694e-05,-0.0006668125454254112,0.634857038413317,0.02708016686178105,0.47619047619047616
baseline_price_only,10,10.0,78,21,0.0049653136938833786,0.004212885377242451,0.005166563222075539,-0.0002012495281921608,-0.0009536778448330887,0.7524283166409281,0.0458635003990909,0.6190476190476191
baseline_price_only,10,10.0,79,21,-0.006180893783937042,-0.006868174587974262,-0.004860824748259307,-0.0013200690356777365,-0.002007349839714956,0.6872808040372198,-0.03271885617885746,0.38095238095238093
baseline_price_only,10,10.0,80,21,-8.981183701344483e-05,-0.0008657751825968443,0.0001334584260409274,-0.00022327026305437288,-0.0009992336086377723,0.7759633455833997,-0.03363394672421294,0.5714285714285714
baseline_price_only,10,10.0,81,21,0.004091011700409228,0.003362841605718858,0.00256741376838518,0.0015235979320240484,0.0007954278373336782,0.7281700946903698,0.048708942906443495,0.6190476190476191
baseline_price_only,10,10.0,82,21,-0.0012366245307446847,-0.001957754996790071,-0.0024381706113873708,0.0012015460806426863,0.0004804156145972999,0.7211304660453864,0.023593565962831773,0.5238095238095238
baseline_price_only,10,10.0,83,21,0.002589634620803219,0.0018558779858954373,0.0014355968002289841,0.0011540378205742352,0.0004202811856664529,0.7337566349077823,0.014003668366492137,0.6666666666666666
baseline_price_only,10,10.0,84,21,-0.0013321155270456355,-0.002079924231434256,-0.0012432295328331934,-8.888599421244241e-05,-0.0008366946986010627,0.74780870438862,0.02998598600123869,0.3333333333333333
baseline_price_only,10,10.0,85,21,0.0008314552654018891,0.00019644099762659622,-0.00037188861883118076,0.0012033438842330702,0.0005683296164577771,0.6350142677752931,0.0181382182755855,0.5238095238095238
baseline_price_only,10,10.0,86,21,0.0026640040929289555,0.0019542401000432704,0.0017937701682161282,0.0008702339247128275,0.0001604699318271422,0.7097639928856851,0.005238219241296289,0.6190476190476191
baseline_price_only,10,10.0,87,21,0.004005500234010609,0.0033332923137582545,0.002480534543422888,0.0015249656905877214,0.0008527577703353669,0.6722079202523544,0.03834040657350328,0.6190476190476191
baseline_price_only,10,10.0,88,21,0.003962199737146472,0.00322345071050678,0.0015776761796341989,0.0023845235575122724,0.0016457745308725807,0.7387490266396916,0.032977892122751776,0.6666666666666666
baseline_price_only,10,10.0,89,21,0.0017433471322212968,0.0010283892991778136,0.0018437978049112565,-0.00010045067268996003,-0.0008154085057334435,0.7149578330434831,0.016955645821668707,0.6190476190476191
baseline_price_only,10,10.0,90,21,-0.0002934408339509303,-0.000994068690974526,-0.001200241452374314,0.0009068006184233835,0.0002061727613997882,0.7006278570235953,0.05218454709354062,0.47619047619047616
baseline_price_only,10,10.0,91,21,0.004772390221062172,0.004099898619116109,0.004185396498689209,0.0005869937223729623,-8.549787957309921e-05,0.6724916019460614,-0.021341500605449933,0.7619047619047619
baseline_price_only,10,10.0,92,21,0.0030022226214261104,0.002286716071238311,0.0014013964946219982,0.0016008261268041118,0.0008853195766163124,0.7155065501877994,0.022995962420228156,0.5238095238095238
baseline_price_only,10,10.0,93,21,0.0004149621797121931,-0.0003102906123905231,1.4035620939745594e-05,0.0004009265587724475,-0.0003243262333302681,0.7252527921027154,0.0410886887653871,0.5714285714285714
baseline_price_only,10,10.0,94,21,0.00030242378237365264,-0.0003835784336264502,0.0011209288645548778,-0.0008185050821812251,-0.0015045072981813283,0.686002216000103,0.015439008340399433,0.42857142857142855
baseline_price_only,10,10.0,95,21,-0.0009006371686488044,-0.0016199477761134,0.0029420190040805824,-0.003842656172729386,-0.004561966780193981,0.7193106074645954,0.012775415623854078,0.5714285714285714
baseline_price_only,10,15.0,0,21,0.01266814166970773,0.011475121611726128,0.008932853072422265,0.0037352885972854657,0.002542268539303865,0.7953467053210664,0.03870408863913136,0.9047619047619048
baseline_price_only,10,15.0,1,21,0.0028580772878795944,0.0018923106958805027,0.0008029028110496708,0.0020551744768299244,0.0010894078848308322,0.643844394666061,0.08537097101020796,0.5238095238095238
baseline_price_only,10,15.0,2,21,-0.0046901175379556554,-0.005526335185199698,-0.004074511077241401,-0.0006156064607142532,-0.0014518241079582972,0.5574784314960295,0.019998723992330724,0.38095238095238093
baseline_price_only,10,15.0,3,21,0.008330385085489958,0.007266750847153094,0.0037169589758910384,0.0046134261095989205,0.003549791871262054,0.7090894922245781,0.08856383625014427,0.6666666666666666
